"","year","rwi","samp.depth","month","precip"
"1",1895,1.025,50,"Jan",1.08
"2",1895,1.025,50,"Feb",0.78
"3",1895,1.025,50,"Mar",0.11
"4",1895,1.025,50,"Apr",0.1
"5",1895,1.025,50,"May",1.12
"6",1895,1.025,50,"Jun",0.63
"7",1895,1.025,50,"Jul",4.07
"8",1895,1.025,50,"Aug",3.74
"9",1895,1.025,50,"Sep",1.25
"10",1895,1.025,50,"Oct",0.81
"11",1895,1.025,50,"Nov",1.73
"12",1895,1.025,50,"Dec",0.23
"13",1896,0.512,50,"Jan",0.25
"14",1896,0.512,50,"Feb",0.2
"15",1896,0.512,50,"Mar",0.2
"16",1896,0.512,50,"Apr",0.15
"17",1896,0.512,50,"May",0.01
"18",1896,0.512,50,"Jun",0.71
"19",1896,0.512,50,"Jul",3.25
"20",1896,0.512,50,"Aug",1.8
"21",1896,0.512,50,"Sep",2.37
"22",1896,0.512,50,"Oct",4.28
"23",1896,0.512,50,"Nov",0.1
"24",1896,0.512,50,"Dec",0.22
"25",1897,1.019,50,"Jan",1.29
"26",1897,1.019,50,"Feb",0.2
"27",1897,1.019,50,"Mar",1.15
"28",1897,1.019,50,"Apr",0.69
"29",1897,1.019,50,"May",1.09
"30",1897,1.019,50,"Jun",0.56
"31",1897,1.019,50,"Jul",2.57
"32",1897,1.019,50,"Aug",2.57
"33",1897,1.019,50,"Sep",4.77
"34",1897,1.019,50,"Oct",1.99
"35",1897,1.019,50,"Nov",0.08
"36",1897,1.019,50,"Dec",0.69
"37",1898,1.259,50,"Jan",1.13
"38",1898,1.259,50,"Feb",0.35
"39",1898,1.259,50,"Mar",0.98
"40",1898,1.259,50,"Apr",0.88
"41",1898,1.259,50,"May",0.31
"42",1898,1.259,50,"Jun",1.89
"43",1898,1.259,50,"Jul",3.49
"44",1898,1.259,50,"Aug",2.87
"45",1898,1.259,50,"Sep",0.66
"46",1898,1.259,50,"Oct",0.05
"47",1898,1.259,50,"Nov",0.93
"48",1898,1.259,50,"Dec",1.19
"49",1899,0.417,50,"Jan",0.22
"50",1899,0.417,50,"Feb",0.21
"51",1899,0.417,50,"Mar",0.43
"52",1899,0.417,50,"Apr",0.55
"53",1899,0.417,50,"May",0.03
"54",1899,0.417,50,"Jun",0.78
"55",1899,0.417,50,"Jul",3.91
"56",1899,0.417,50,"Aug",1.43
"57",1899,0.417,50,"Sep",1.17
"58",1899,0.417,50,"Oct",0.47
"59",1899,0.417,50,"Nov",0.5
"60",1899,0.417,50,"Dec",0.24
"61",1900,0.093,50,"Jan",0.69
"62",1900,0.093,50,"Feb",0.5
"63",1900,0.093,50,"Mar",1.08
"64",1900,0.093,50,"Apr",0.94
"65",1900,0.093,50,"May",0.36
"66",1900,0.093,50,"Jun",0.23
"67",1900,0.093,50,"Jul",1.18
"68",1900,0.093,50,"Aug",0.94
"69",1900,0.093,50,"Sep",3.53
"70",1900,0.093,50,"Oct",0.43
"71",1900,0.093,50,"Nov",0.75
"72",1900,0.093,50,"Dec",0.28
"73",1901,0.497,49,"Jan",0.63
"74",1901,0.497,49,"Feb",1.28
"75",1901,0.497,49,"Mar",0.47
"76",1901,0.497,49,"Apr",0.28
"77",1901,0.497,49,"May",0.62
"78",1901,0.497,49,"Jun",0.04
"79",1901,0.497,49,"Jul",2.04
"80",1901,0.497,49,"Aug",1.44
"81",1901,0.497,49,"Sep",1.09
"82",1901,0.497,49,"Oct",1.36
"83",1901,0.497,49,"Nov",0.82
"84",1901,0.497,49,"Dec",0.22
"85",1902,0.494,49,"Jan",0.64
"86",1902,0.494,49,"Feb",0.31
"87",1902,0.494,49,"Mar",0.3
"88",1902,0.494,49,"Apr",0.14
"89",1902,0.494,49,"May",0.85
"90",1902,0.494,49,"Jun",0.27
"91",1902,0.494,49,"Jul",1.01
"92",1902,0.494,49,"Aug",4.01
"93",1902,0.494,49,"Sep",1.89
"94",1902,0.494,49,"Oct",0.19
"95",1902,0.494,49,"Nov",1.18
"96",1902,0.494,49,"Dec",1.63
"97",1903,0.28,49,"Jan",0.34
"98",1903,0.28,49,"Feb",0.81
"99",1903,0.28,49,"Mar",0.86
"100",1903,0.28,49,"Apr",0.26
"101",1903,0.28,49,"May",0.53
"102",1903,0.28,49,"Jun",2.43
"103",1903,0.28,49,"Jul",0.86
"104",1903,0.28,49,"Aug",3.25
"105",1903,0.28,49,"Sep",2.62
"106",1903,0.28,49,"Oct",0
"107",1903,0.28,49,"Nov",0
"108",1903,0.28,49,"Dec",0.07
"109",1904,0.043,49,"Jan",0.23
"110",1904,0.043,49,"Feb",0.22
"111",1904,0.043,49,"Mar",0.38
"112",1904,0.043,49,"Apr",0.09
"113",1904,0.043,49,"May",0.29
"114",1904,0.043,49,"Jun",0.58
"115",1904,0.043,49,"Jul",1.56
